               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.039348,            0.048829,            0.014524,             0.36283,             0.16467,             0.17299,            0.066371,            0.064394,            0.065903,            0.042017,            0.006436,            0.006436,            0.006436
                  74,            0.038152,             0.04198,            0.012242,             0.37746,             0.15649,             0.16843,            0.064203,            0.065359,            0.067017,            0.045398,           0.0063865,           0.0063865,           0.0063865
                  75,            0.038778,             0.04331,            0.012331,             0.18519,             0.25974,             0.15352,            0.062629,            0.066335,            0.067963,            0.042139,            0.006337,            0.006337,            0.006337
                  76,            0.037885,            0.042428,            0.012015,             0.16254,             0.17046,             0.12488,            0.054369,            0.066847,            0.069992,            0.043909,           0.0062875,           0.0062875,           0.0062875
                  77,             0.03893,            0.042453,            0.012232,             0.17909,             0.16791,             0.12134,             0.05423,            0.065815,             0.06955,            0.042615,            0.006238,            0.006238,            0.006238
                  78,             0.03825,            0.040695,            0.011612,             0.27186,             0.10309,             0.10238,            0.048132,            0.065396,            0.072021,            0.044788,           0.0061885,           0.0061885,           0.0061885
                  79,            0.039279,            0.045046,            0.012949,              0.1751,             0.18432,             0.12417,            0.053018,            0.066673,            0.069489,            0.043384,            0.006139,            0.006139,            0.006139
                  80,            0.038308,            0.043929,            0.011479,             0.24149,             0.17691,              0.1397,            0.054449,            0.067442,            0.068558,            0.041089,           0.0060895,           0.0060895,           0.0060895
                  81,            0.038225,            0.043409,            0.011761,             0.23416,              0.2895,              0.1629,             0.05845,            0.064438,            0.064743,            0.040039,             0.00604,             0.00604,             0.00604
                  82,            0.037922,            0.043466,            0.010939,             0.19498,             0.17141,                0.13,            0.056051,             0.06555,            0.067764,            0.040686,           0.0059905,           0.0059905,           0.0059905
                  83,            0.038298,            0.040903,            0.010784,             0.15491,              0.1442,             0.11234,             0.05173,            0.065791,            0.068481,            0.042896,            0.005941,            0.005941,            0.005941
                  84,            0.037261,            0.041443,            0.010955,             0.15827,             0.14664,             0.12849,            0.056607,            0.063056,            0.068771,            0.043726,           0.0058915,           0.0058915,           0.0058915
                  85,             0.03757,            0.043653,            0.012954,             0.20747,             0.25972,             0.14413,            0.057848,            0.063404,            0.071075,            0.039587,            0.005842,            0.005842,            0.005842
                  86,            0.036667,            0.043634,            0.011494,             0.29923,             0.16971,             0.16587,            0.065762,              0.0634,            0.068253,            0.041516,           0.0057925,           0.0057925,           0.0057925
                  87,            0.036492,            0.040881,            0.011549,             0.15303,             0.20105,             0.13546,            0.062033,            0.064963,            0.070541,            0.041284,            0.005743,            0.005743,            0.005743
                  88,            0.036659,            0.042521,            0.010303,             0.22664,             0.17535,             0.13124,            0.062903,            0.068394,            0.072433,            0.043518,           0.0056935,           0.0056935,           0.0056935
                  89,            0.037227,            0.042368,            0.011117,             0.14893,             0.15836,              0.1115,            0.051058,            0.066994,            0.076324,            0.047693,            0.005644,            0.005644,            0.005644
                  90,            0.035741,            0.040437,            0.010439,             0.30312,             0.10001,             0.10527,            0.051325,            0.065082,            0.078308,            0.045801,           0.0055945,           0.0055945,           0.0055945
                  91,             0.03649,            0.042433,            0.011894,             0.20593,             0.21919,             0.15519,            0.068213,             0.06594,            0.075485,            0.042322,            0.005545,            0.005545,            0.005545
